employer,emp_count,median_salary,mean_salary,total_payroll
12490625 Canada Institute,1,124199.92,124199.92,124199.92
1490261 Ontario Inc (o/s More Than Words),1,123387.3,123387.3,123387.3
2021633 Ontario Inc (O/A Finishing Trades Institute of Ontario),5,115343.99,118602.83599999998,593014.1799999999
2829602 Ontario Inc.,1,134897.11,134897.11,134897.11
360Kids Support Services,4,127593.595,132135.825,528543.3
8024499 Canada Association (O/A Helmets To Hardhats Canada),5,143916.0,141846.2,709231.0
A Y Alternatives For Youth Hamilton,1,114987.0,114987.0,114987.0
ABLE2: Support for People with Disabilities,1,109793.58,109793.58,109793.58
"AIDS Committee Of Cambridge, Kitchener Waterloo and Area",1,111160.0,111160.0,111160.0
AIDS Committee Of Thunder Bay,3,106412.5,114365.56333333334,343096.69
AIDS Committee Of Toronto,2,127786.655,127786.655,255573.31
APTUS Treatment Centre,7,107158.06,118914.54285714286,832401.8
Abilities Centre,2,176641.465,176641.465,353282.93
Abiona Centre For Infant & Early Mental Health,3,139577.8,137222.52333333335,411667.57
AbleLiving Services Inc,8,113212.48000000001,122128.9375,977031.5
Aboriginal Experiences Arts & Culture (Aeac),2,162022.5,162022.5,324045.0
Aboriginal Legal Services Inc,1,171432.65,171432.65,171432.65
Abrigo Centre,2,103500.0,103500.0,207000.0
Accelerate Auto Canada,1,110000.0,110000.0,110000.0
Accerta Services Inc,14,126373.52,140012.74214285714,1960178.39
Access Alliance Multicultural Health And Community Services,14,127081.89,166304.5214285714,2328263.3
Access Better Living Inc,1,124760.72,124760.72,124760.72
Access Community Services Incorporated,2,118433.47,118433.47,236866.94
Access For Parents and Children In Ontario,1,145377.93,145377.93,145377.93
Access Independent Living Services,2,134409.0,134409.0,268818.0
Accessible Community Counselling And Employment Services (ACCES),26,130957.79000000001,157053.89346153845,4083401.23
Acclaim Health And Community Care Services,32,123120.81,125548.1046875,4017539.35
Achieve Potential Inc,1,142480.0,142480.0,142480.0
Achēv,12,135328.97499999998,146663.3525,1759960.23
Across Boundaries,1,126667.14,126667.14,126667.14
Addiction And Mental Health Services - KFLA,12,108113.125,120146.26166666666,1441755.14
Addiction Services Central Ontario,10,130164.28,136918.178,1369181.78
Addictions And Mental Health Ontario,3,132817.9,144597.37,433792.11
Addictions And Mental Health Services - Hastings Prince Edward,8,113998.82,119846.86750000001,958774.9400000001
Adult Recreation Therapy Centre,1,106673.74,106673.74,106673.74
Advent Health Care Corporation,7,107235.66,111974.47571428571,783821.33
Affiliated Services For Children and Youth Inc,3,112551.0,112301.90999999999,336905.73
African Community Services Of Peel,1,118000.0,118000.0,118000.0
Agricorp,43,116559.42,122730.59232558138,5277415.47
Agricultural Adaptation Council (AAC),2,139534.175,139534.175,279068.35
"Agriculture, Food And Rural Affairs",516,116430.20999999999,122282.90738372093,63097980.21
Ajax Public Library,9,118997.27,129378.69111111111,1164408.22
Akausivik Inuit Family Health Team,6,128457.78,135664.98833333334,813989.93
Albion Neighbourhood Services,1,120000.0,120000.0,120000.0
Albright Gardens Homes Incorporated,10,113379.975,124369.777,1243697.77
Alcohol And Gaming Commission Of Ontario,250,128868.13,141884.64016,35471160.04
Alderville First Nation,1,127734.01,127734.01,127734.01
Alexandra Marine And General Hospital,62,116491.29000000001,121042.36274193549,7504626.49
Algoma District School Board,721,132880.86,130067.1567822469,93778420.04
Algoma District Services Administration Board,66,117641.08,125636.26863636365,8291993.73
Algoma Family Services,7,105485.88,114869.24428571427,804084.71
Algoma Manor Nursing Home,5,117970.76,127580.81600000002,637904.0800000001
Algoma University,181,132409.99,145674.2580110497,26367040.7
Algonquin And Lakeshore Catholic District School Board,636,132211.45,128729.1826100629,81871760.14
Algonquin College Of Applied Arts and Technology,795,124580.14,126296.9053081761,100406039.72
Algonquin Forestry Authority,3,127611.43,125919.04,377757.12
Algonquin Nursing Home Of Mattawa,2,124391.485,124391.485,248782.97
Algonquins Of Pikwakanagan First Nation,4,106830.535,107239.115,428956.46
Alice Saddy Association,2,115447.545,115447.545,230895.09
Alliance For South Asian AIDS Prevention,1,110500.0,110500.0,110500.0
Almonte General Hospital,78,112058.14,116629.78628205128,9097123.33
Alpha Court Non-profit Housing Corp,1,140176.0,140176.0,140176.0
Alpha House,1,122000.0,122000.0,122000.0
AlphaPlus Centre,1,102902.0,102902.0,102902.0
Alus Canada Inc,3,129602.76,138357.89666666667,415073.69
"Alzheimer Society Of Brant, Haldimand Norfolk, Hamilton Halton",4,113691.5,116243.75,464975.0
Alzheimer Society Of Dufferin County,1,100614.62,100614.62,100614.62
Alzheimer Society Of Durham Region,1,110584.32,110584.32,110584.32
Alzheimer Society Of Peel,7,126958.0,129466.71428571429,906267.0
Alzheimer Society Of The Niagara Region,1,112992.93,112992.93,112992.93
Alzheimer Society Of Toronto,3,104274.92,138258.49,414775.47
Alzheimer Society Of Windsor and Essex County,1,128817.21,128817.21,128817.21
Alzheimer Society Of York Region,1,139994.4,139994.4,139994.4
Alzheimer Society Southwest Partners,1,153000.0,153000.0,153000.0
Ancestral Hands Foundation,1,120700.0,120700.0,120700.0
Animakee Wa Zhing 37,1,114360.0,114360.0,114360.0
Anishinaabe Abinoojii Family Services,14,115356.5,125372.5107142857,1755215.15
Anishinabek Police Services,16,190559.02000000002,184883.571875,2958137.15
Anishnabeg Outreach Employment And Training Inc,3,118367.76,120985.25333333334,362955.76
Anishnawbe Health Toronto,5,141242.0,196751.974,983759.87
Anova A Future Without Violence,1,106206.0,106206.0,106206.0
Aphasia Institute,1,132999.59,132999.59,132999.59
Applause Community Development Corporation,1,111088.8,111088.8,111088.8
Arab Community Centre Of Toronto,1,101271.8,101271.8,101271.8
Arirang Age-Friendly Community Centre (AAFCC),2,115607.5,115607.5,231215.0
Armagh,1,105322.67,105322.67,105322.67
Arnprior Braeside McNab Seniors At Home Program Inc,1,108447.98,108447.98,108447.98
Arnprior Regional Health,46,115342.29500000001,118840.20130434782,5466649.26
Art Gallery Of Ontario,73,124057.78,137453.38356164383,10034097.0
Aspire For Higher Elite Basketball,2,114384.0,114384.0,228768.0
Assisted Living Southwestern Ontario,5,107704.66,113216.946,566084.73
Assoc Des Directions Et Direct Adjointes Des Ecoles Franco-ontariennes (ADFO),2,157726.0,157726.0,315452.0
Assoc Francophone A L’Education Des Services A L’Enfance De L’Ontario (Afeseo),1,101019.89,101019.89,101019.89
Associated Youth Services Of Peel,6,111325.59,131039.97666666667,786239.86
Association Des Conseils Scolaires Des Ecoles Publiques De L’ontario,3,155633.2,157149.07666666666,471447.23
